id,recruiter_id,title,description,created_at
1,8,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-20 00:00:00
2,9,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-03 00:00:00
3,6,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-02 00:00:00
4,6,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-16 00:00:00
5,5,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-22 00:00:00
6,10,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-25 00:00:00
7,5,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-26 00:00:00
8,2,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-12 00:00:00
9,10,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-16 00:00:00
10,6,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-02 00:00:00
11,4,Software Engineer,"Python, Java, Software Development",2024-01-08 00:00:00
12,9,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-07 00:00:00
13,4,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-26 00:00:00
14,8,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-12 00:00:00
15,10,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-25 00:00:00
16,1,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-02 00:00:00
17,1,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-16 00:00:00
18,6,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-14 00:00:00
19,8,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-21 00:00:00
20,6,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-06 00:00:00
21,8,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-21 00:00:00
22,3,Software Engineer,"Python, Java, Software Development",2024-01-09 00:00:00
23,8,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-27 00:00:00
24,7,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-02 00:00:00
25,3,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-09 00:00:00
26,1,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-02 00:00:00
27,10,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-15 00:00:00
28,4,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-04 00:00:00
29,10,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-26 00:00:00
30,10,Software Engineer,"Python, Java, Software Development",2024-01-22 00:00:00
31,5,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-22 00:00:00
32,5,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-20 00:00:00
33,2,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-11 00:00:00
34,1,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-26 00:00:00
35,3,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-18 00:00:00
36,3,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-15 00:00:00
37,6,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-23 00:00:00
38,7,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-29 00:00:00
39,7,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-04 00:00:00
40,10,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-10 00:00:00
41,9,Software Engineer,"Python, Java, Software Development",2024-01-10 00:00:00
42,1,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-22 00:00:00
43,10,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-24 00:00:00
44,6,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-21 00:00:00
45,8,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-25 00:00:00
46,1,Software Engineer,"Python, Java, Software Development",2024-01-27 00:00:00
47,8,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-28 00:00:00
48,3,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-02 00:00:00
49,2,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-03 00:00:00
50,4,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-17 00:00:00
51,7,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-24 00:00:00
52,3,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-17 00:00:00
53,3,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-05 00:00:00
54,6,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-22 00:00:00
55,2,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-05 00:00:00
56,10,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-01 00:00:00
57,7,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-13 00:00:00
58,4,Software Engineer,"Python, Java, Software Development",2024-01-25 00:00:00
59,8,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-19 00:00:00
60,4,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-16 00:00:00
61,2,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-30 00:00:00
62,6,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-20 00:00:00
63,5,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-14 00:00:00
64,4,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-17 00:00:00
65,7,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-10 00:00:00
66,9,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-27 00:00:00
67,1,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-29 00:00:00
68,1,Software Engineer,"Python, Java, Software Development",2024-01-16 00:00:00
69,3,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-21 00:00:00
70,2,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-15 00:00:00
71,4,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-10 00:00:00
72,10,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-18 00:00:00
73,9,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-22 00:00:00
74,3,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-03 00:00:00
75,7,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-05 00:00:00
76,5,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-05 00:00:00
77,6,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-25 00:00:00
78,2,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-15 00:00:00
79,2,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-31 00:00:00
80,8,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-31 00:00:00
81,7,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-08 00:00:00
82,10,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-18 00:00:00
83,10,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-24 00:00:00
84,1,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-21 00:00:00
85,3,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-15 00:00:00
86,3,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-22 00:00:00
87,7,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-11 00:00:00
88,4,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-13 00:00:00
89,4,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-18 00:00:00
90,9,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-29 00:00:00
91,1,Software Engineer,"Python, Java, Software Development",2024-01-04 00:00:00
92,2,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-08 00:00:00
93,9,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-14 00:00:00
94,5,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-30 00:00:00
95,8,Software Engineer,"Python, Java, Software Development",2024-01-04 00:00:00
96,10,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-04 00:00:00
97,8,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-16 00:00:00
98,5,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-25 00:00:00
99,1,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-16 00:00:00
100,5,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-05 00:00:00
101,1,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-25 00:00:00
102,7,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-30 00:00:00
103,3,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-13 00:00:00
104,3,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-28 00:00:00
105,10,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-05 00:00:00
106,7,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-16 00:00:00
107,2,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-30 00:00:00
108,4,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-09 00:00:00
109,9,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-07 00:00:00
110,3,Software Engineer,"Python, Java, Software Development",2024-01-31 00:00:00
111,1,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-03 00:00:00
112,9,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-31 00:00:00
113,3,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-20 00:00:00
114,5,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-20 00:00:00
115,3,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-19 00:00:00
116,8,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-10 00:00:00
117,8,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-27 00:00:00
118,3,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-08 00:00:00
119,2,Full Stack Engineer,"React, Node.js, Python, APIs, Databases",2024-01-20 00:00:00
120,8,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-03 00:00:00
121,4,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-16 00:00:00
122,8,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-28 00:00:00
123,7,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-12 00:00:00
124,1,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-06 00:00:00
125,4,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-15 00:00:00
126,8,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-24 00:00:00
127,10,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-18 00:00:00
128,5,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-15 00:00:00
129,3,Software Engineer,"Python, Java, Software Development",2024-01-18 00:00:00
130,7,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-24 00:00:00
131,6,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-31 00:00:00
132,5,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-14 00:00:00
133,8,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-24 00:00:00
134,8,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-13 00:00:00
135,9,Backend Engineer,"Python, FastAPI, Django, PostgreSQL, REST APIs",2024-01-01 00:00:00
136,5,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-21 00:00:00
137,9,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-02 00:00:00
138,9,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-25 00:00:00
139,4,Data Engineer,"ETL, SQL, Python, Data Pipelines",2024-01-22 00:00:00
140,8,Software Engineer,"Python, Java, Software Development",2024-01-02 00:00:00
141,2,QA Automation Engineer,"Selenium, Python, Automation Testing",2024-01-24 00:00:00
142,8,Frontend Engineer,"React, JavaScript, Material UI, UI Development",2024-01-23 00:00:00
143,1,Data Analyst,"SQL, Python, Pandas, Data Visualization",2024-01-12 00:00:00
144,3,ML Engineer,"Python, NLP, Machine Learning, Embeddings",2024-01-14 00:00:00
145,2,DevOps Engineer,"Docker, Kubernetes, CI/CD, AWS",2024-01-27 00:00:00
146,6,Software Engineer,"Python, Java, Software Development",2024-01-31 00:00:00
147,4,Cloud Engineer,"AWS, Azure, Cloud Infrastructure",2024-01-18 00:00:00
